title,publisher,publish_year,language,isbn
Lord of the Rings Arwen Journal,['Cedco Publishing Company'],[2001],['eng'],"['9780768325263', '0768325269']"
The Lord of the Rings,['HarperCollins'],"[2003, 2004]",['eng'],"['9780007179251', '9781869505301', '0007179251', '1869505301']"
The Lord of the Rings,['Collins'],[2002],['eng'],"['0007144091', '9780007144099']"
The Lord of the Rings,['BradyGames'],[2004],['eng'],"['9780744003499', '0744003490']"
Lord of the Rings,,[2011],,
Lord of the Rings,['Insight Editions'],[2023],['eng'],['9798886632552']
Lord of the Rings Instrumental,['Warner Bros. Publications'],[2004],['eng'],"['9780757923265', '9780757923272', '0757923275', '0757923283', '9780757923289', '0757923267']"
The Lord of the Rings,,,['eng'],"['1931334706', '9781931334709']"
THE LORD OF THE RINGS,['WS'],[2003],,
The Lord of the Rings,['Bbc Book Pub'],,,"['0563494859', '9780563494850']"
Lords of the Ring,['University of Wisconsin Press'],"[2004, 2012, 2005]",['eng'],"['9780299204204', '9780299204242', '0299204200', '0299204243', '9780299204235', '0299204235']"
Understanding : «the Lord of the Rings» «the Fellowship of the Ring»,['Independently Published'],[2020],['eng'],['9798653925078']
Lord of the Rings Trilogy,"['Warner Bros. Publications', 'Alfred Music']",[2004],['eng'],"['075792414X', '9780757924149']"
The Fellowship of the Ring Sourcebook (The Lord of the Rings Roleplaying Game),['Decipher Inc.'],[2003],['eng'],"['1582369550', '9781582369556']"
Understanding The lord of the rings,['Houghton Mifflin'],"[2004, 2005]",['eng'],"['9780618422517', '0618422536', '061842251X', '9780618422531']"
"Gollum (""Lord of the Rings"")",['Collins'],[2003],,"['0007170572', '9780007170579']"
Lord of the Rings Food Recipes : the Perfect Lord of the Rings Party Diet,['Independently Published'],[2021],['eng'],['9798503583168']
Lord of the Rings,['Insight Editions'],[2019],['eng'],"['9781682984857', '1682984850']"
Lord of the rings,['Ringling Bros. and Barnum & Bailey Combined Shows'],[1988],['eng'],
Tolkien and the Lord of the rings,"['Azure', 'HiddenSpring', 'Diane Pub Co']","[2001, 2004]",['eng'],"['1902694228', '9781902694221', '9781587680175', '1587680173', '9780756778880', '0756778883']"
Tolkien's The Lord of the Rings,"['Walking Tree Publisher', 'Walking Tree Publishers']",[2008],['eng'],"['3905703122', '9783905703122']"
Lurtz (Tasseled Bookmark) (The Lord of the Rings: The Fellowship of the Ring),['Antioch Publishing'],[2001],['eng'],"['0782420303', '9780782420302']"
Lord of the Rings Coloring Book,['Independently Published'],[2020],['eng'],"['9798644518586', '9798656121118']"
The Lord of the Rings - The Two Towers,['Games Workshop'],[2003],,"['1841542857', '9781841542850']"
The Lord of the Rings,['Insights'],[2014],,"['9781608873821', '160887382X']"
Lord of the Rings Enhanced,,,,"['9785555630117', '5555630115']"
Lord of the Rings Sketchbook,['HarperCollins Publishers Limited'],[2008],['eng'],"['9780007284238', '0007284233']"
Lord of the Rings 2007,['HarperCollins Publishers Limited'],[2006],['eng'],"['9780007225644', '0007225644']"
Lord of the Rings the Fellowship of the Ring Sheet Music,['Independently Published'],[2022],['eng'],['9798839074279']
Finding God in the Lord of the Rings,"['Tyndale House Publishers', 'Tyndale Momentum', 'Brand: Living Books']","[2003, 2021]",['eng'],"['9781496447517', '1496447506', '9781496447487', '1496447484', '1496447514', '9781496447500', '9781496447494', '1496447492', '084238555X', '9780842385558']"
Lord of the Rings,"['Wallflower Press', 'WALLFLOWER']",[2006],"['und', 'eng']","['9781904764823', '1904764835', '9781904764830', '1904764827']"
Lord of the Rings Handbook : Everything You Need to Know about the Lord of the Rings,['Independently Published'],[2021],['eng'],['9798774588732']
The Lord of the Rings,,,,
